address,size/byte,type,description,value,,,,,,
0X21,1,char,AEC_LECHO_OFFSET_DB,[-80..0]:    late echo estimation offset [dB],,,,,,
0X22,2,unsigned short,AEC_LECHO_LEN_MS,[0..400]:    late echo length time constant [ms],,,,,,
0X23,1,char,AEC_FORCE_THR_DB,[-80..0]:    threshold below which echo removal is put to maximum,,,,,,
0X24,1,unsigned char,AEC_NOISE_THR_DB,"[0..40]:     when ERLE < aec_noise_thr, then noise echo is not cancelled",,,,,,
0X25,1,unsigned char,AEC_DT_THR_DB,"[0..40]:     when ERLE > aec_dt_thr in dB, then doubletalk release will be disabled",,,,,,
0X26,1,unsigned char,AEC_DT_RELEASE_DB,[0..24]:     during near-end and doubletalk echo removal is released [dB],,,,,,
0X27,1,char,AEC_DT_ATT_LIMIT_DB,[-80..0]:    maximum echo attenuation when ERLE < aec_dt_thr [dB],,,,,,
0X28,1,unsigned char,AEC_NO_ADAPT,"[0, 1]:      0: aec echo path estimation on, 1: set echo path to aec_gain",,,,,,
0X29,1,char,AEC_INIT_GAIN_DB,[-60..20]:   echo path initial gain (if aec_noadapt then update aec gains to aec_gain) [dB],,,,,,
0X2A,1,unsigned char,AGC_ON,"[0, 1]:      0: off, 1: on",,,,,,
0X2B,1,unsigned char,AGC_INIT_GAIN_DB,[0..36 dB]:  gain when AGC starts,,,,,,
0X2C,1,char,AGC_TARGET_DB,[-30..-10]:  agc target [dB],,,,,,
0X2D,1,unsigned char,MIC_EQ_INDEX,[0..2]:      mic EQ preset index,,,,,,
0X2E,1,unsigned char,SPK_EQ_INDEX,[0..2]:      spk EQ preset index,,,,,,
0X2F,1,unsigned char,SPK_LIMITER_ON,"[0, 1]:      0: audio gain control off, 1: audio gain control on",,,,,,
0X30,1,char,SPK_LIMITER_THR_DB,[-20...0]:   limiter threshold [dB],,,,,,
0X31,1,unsigned char,SPK_COMPR_ON,"[0, 1]:      0: audio gain control off, 1: audio gain control on",,,,,,
0X32,1,char,SPK_COMPR_THR_DB,[-30..0]:    compressor threshold [dB],,,,,,
0X33,1,unsigned char,SPK_COMPR_GAIN_DB,[0..12]:     compressor makeup gain [dB] ,,,,,,
0X34,1,unsigned char,SPK_COMPR_RATIO,"/* compressor ratio [index]
index   0   1   2   3   4   5   6   7   8   9
ratio   1.5 2   3   4   5   6   7   8   9   10",,,,,,
0X35,4,int,MIC_IN_PEAK,Peak value of microphone input [dBfs],,,,,,
0X36,4,int,MIC_PRE_AEC_PEAK,Peak value of microphone signal before AEC [dBfs],,,,,,
0X37,4,int,MIC_OUT_PEAK,Peak value of microphone output [dBfs],,,,,,
0X38,4,int,SPK_IN_PEAK,Peak value of loudspeaker input [dBfs],,,,,,
0X39,4,int,SPK_OUT_PEAK,Peak value of loudspeaker output [dBfs],,,,,,
0X3A,4,int,AEC_DELAY_MS_RT,/* AEC delay estimation [ms] */,,,,,,
0X3B,4,int,AEC_ERLE_DB,AEC ERLE estimation [dB],,,,,,
0X3C,4,int,MIC_OUT_VAD,microphone output vad (0..32767),,,,,,
0X3D,4,unsigned int,VAD_THRESH_ENTRY,[10..100],,,,,,
0X3E,4,unsigned int,VAD_THRESH_COUNT,[10..100],,,,,,
0X3F,1,unsigned char,VAD_TIMEOUT,"[5..100] 5 as 500ms, 10 as 1s, 100 as 10s",,,,,,
0X40,1,unsigned char,VAD_THRESH_DETECT_TIME,[0..255],,,,,,
0X41,1,unsigned char,VAD_STATE,[0..1],,,,,,
0X42,1,unsigned char,DODOA,[0..1],,,,,,
0X43,1,unsigned char,PROCBYPASSED,[0..1],,,,,,
0X44,1,unsigned char,LOOPBACK,[0..1],,,,,,
0X45,2,unsigned short,VOICE_ANGLE,[0..359],,,,,,
,,,,,,,,,,
,,,,,,,,,,
frame,,,,,,,,,,
address_L,address_H,length_L,length_H,data1( length bytes)……,address_H,length_H,length_L,data1( length bytes)……,,
MSB,,,,,,,,LSB,,
,,,,,,,,,,
,,,,,,,,,,
W/R flag,address bit 0,……,address bit 14,,,,,,,
MSB,,,LSB,,,,,,,
,,,,,,,,,,
write ,read,,,,,,,,,
0,1,,,,,,,,,
,,,,,,,,,,
REPORT_AUTO FOR VOICE ANGLE AND VAD STATE,,,,,,,,,,
0XFF,0XFF,0X03,0X00,STATE,ANGLE_L,ANGLE_H,,,,
